Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
circular_aviation_connector,70.1,87.0,88.0,82.4,17.0,24.5,49.5,89.1,78.6,68.1,61.8,92.2,94.1,100.0,80.0,72.0
common-mode-choke,77.9,94.2,91.2,92.0,44.1,45.7,71.9,88.2,71.7,59.9,81.4,96.7,94.6,84.0,60.0,60.0
common-mode-filter,89.2,98.0,95.1,91.7,35.7,41.7,66.7,67.2,44.3,29.8,87.9,97.8,95.3,72.0,36.0,20.0
connector,72.8,94.9,94.1,89.2,56.3,54.0,57.4,85.4,74.6,64.6,59.9,93.3,94.0,92.0,92.0,92.0
connector_housing-female,90.7,98.6,95.8,90.5,56.4,54.5,82.0,54.0,39.7,30.2,98.5,99.8,98.0,24.0,12.0,0.0
console_switch,85.8,98.0,94.7,89.1,18.0,26.8,79.5,79.2,72.8,50.4,90.1,98.7,95.6,64.0,52.0,40.0
crimp_st_cable_mount_box,83.2,97.1,94.9,98.1,65.9,59.6,88.4,64.8,59.2,52.8,82.5,97.5,95.7,60.0,60.0,56.0
dc_jack,80.4,95.7,93.0,86.8,51.0,48.0,83.7,75.9,65.7,54.8,74.6,95.8,94.7,80.0,68.0,64.0
dc_power_connector,89.7,98.5,95.5,89.7,19.5,26.4,83.0,59.2,49.6,32.8,94.0,99.2,96.5,48.0,28.0,24.0
detection_switch,78.5,94.3,91.7,90.0,40.7,43.6,75.8,80.6,68.8,51.1,78.9,96.8,94.3,92.0,72.0,48.0
duckbill_circuit_breaker,78.4,95.3,93.4,91.6,22.3,33.9,74.3,85.9,66.2,50.0,74.1,94.9,94.9,72.0,68.0,48.0
earphone_audio_unit,68.9,93.8,93.2,93.8,39.7,40.1,65.4,93.8,86.9,76.6,76.8,96.2,94.1,92.0,80.0,56.0
effect_transistor,87.0,96.9,91.0,98.9,89.6,82.7,87.4,79.8,70.9,47.8,88.6,98.1,95.4,68.0,56.0,32.0
electronic_watch_movement,73.6,95.7,94.2,92.6,23.3,26.8,61.5,93.6,71.2,64.8,77.4,96.6,94.1,84.0,80.0,64.0
ethernet-connector,92.1,98.6,94.1,94.3,29.5,36.5,74.6,64.3,51.4,22.1,96.3,99.5,96.3,52.0,20.0,12.0
ferrite_bead,82.6,97.5,93.7,96.7,80.0,75.9,81.9,91.0,85.1,76.9,89.1,98.6,94.3,96.0,84.0,48.0
ffc_connector_plug,54.6,88.1,91.6,95.0,49.2,49.4,71.3,93.8,87.5,81.2,42.2,89.9,94.1,100.0,100.0,96.0
flow_control_valve,81.6,96.4,93.0,96.2,58.8,57.6,84.1,84.7,66.7,52.7,84.9,97.5,95.9,64.0,56.0,40.0
flower_copper_shape,91.9,98.9,95.2,93.3,72.3,68.7,85.1,62.4,49.6,30.4,94.5,99.3,96.6,44.0,32.0,20.0
flower_velvet_fabric,83.0,97.5,94.1,89.6,65.3,61.8,74.7,87.2,71.2,53.6,85.1,97.7,94.8,80.0,56.0,48.0
fork-crimp-terminal,75.3,93.9,91.1,93.8,46.8,48.4,82.8,96.7,88.3,73.9,77.8,96.9,94.0,100.0,92.0,72.0
fuse_cover,78.9,95.7,92.1,95.3,53.1,54.1,81.7,87.9,77.6,58.8,80.0,97.2,94.7,91.3,65.2,52.2
fuse_holder,93.1,98.7,98.1,87.3,8.9,11.2,48.0,25.6,20.8,16.0,93.8,98.8,98.5,20.0,16.0,12.0
gear,96.2,99.3,97.6,97.9,83.3,76.6,91.5,25.4,15.1,8.7,100.0,100.0,100.0,0.0,0.0,0.0
gear_motor,68.0,91.1,94.8,84.0,3.4,6.8,70.2,80.8,72.8,59.2,63.0,89.2,96.6,48.0,48.0,48.0
green-ring-filter,69.6,87.2,87.5,89.0,9.1,16.5,62.9,93.2,85.3,69.7,88.2,98.1,96.4,44.0,40.0,32.0
hairdryer_switch,86.1,98.1,94.3,97.8,73.8,70.3,71.0,88.0,70.4,59.2,88.2,98.4,94.9,68.0,56.0,48.0
hall_effect_sensor,92.5,99.0,94.7,82.8,66.8,67.6,58.3,75.2,53.6,32.8,95.0,99.4,95.6,56.0,44.0,12.0
headphone_jack-female,99.3,99.9,98.8,97.1,77.1,71.6,88.0,7.9,3.9,1.6,100.0,100.0,99.7,0.0,0.0,0.0
headphone_jack_socket,72.5,95.2,94.0,93.3,35.3,39.7,78.3,90.0,84.6,76.2,76.2,95.2,94.1,96.0,88.0,76.0
hex_plug,83.5,97.2,94.5,95.8,62.8,58.7,83.2,76.8,60.0,43.2,72.6,95.5,94.8,84.0,72.0,64.0
humidity_sensor,96.4,99.5,96.5,94.7,55.5,56.0,85.8,42.5,20.1,9.0,99.4,99.9,99.0,4.0,0.0,0.0
ingot_buckle,89.1,98.3,95.8,98.6,73.6,67.5,89.5,54.4,44.0,33.6,82.0,97.5,95.0,84.0,76.0,64.0
insect_metal_parts,75.2,95.1,93.6,90.8,24.0,31.0,78.5,87.2,78.7,67.4,86.1,98.1,94.7,80.0,72.0,56.0
inverter_connector,81.9,97.1,94.9,97.6,64.0,57.9,93.2,75.2,63.2,49.6,86.8,98.0,95.6,56.0,48.0,40.0
jam_jar_model,66.9,89.5,91.1,75.8,18.9,30.8,74.1,94.6,88.6,76.8,52.1,91.2,94.3,96.0,88.0,88.0
joystick_switch,99.7,100.0,99.2,99.6,88.7,81.9,99.2,4.0,0.8,0.8,100.0,100.0,100.0,0.0,0.0,0.0
kfc_push-key_switch,80.0,96.7,94.0,86.4,32.1,34.4,60.3,85.3,66.7,58.9,89.2,98.5,95.2,68.0,52.0,36.0
knob-cap,80.8,93.8,94.4,91.2,27.7,32.2,72.3,59.4,43.0,35.2,75.4,93.4,95.2,68.0,60.0,44.0
laser_diode,63.1,90.1,91.6,82.8,3.8,6.1,67.8,98.8,92.3,81.1,73.9,95.0,94.1,96.0,88.0,80.0
lattice_block_plug,71.5,93.3,91.3,96.4,37.2,39.3,86.3,93.3,84.4,75.0,83.8,97.6,96.1,60.0,56.0,52.0
lego-pin-connector-plate,99.0,99.9,98.5,97.9,69.8,65.3,89.5,9.4,4.7,0.8,100.0,100.0,100.0,0.0,0.0,0.0
lego-propeller,89.2,98.2,95.5,95.1,30.5,33.8,78.6,56.8,40.9,28.0,89.2,98.5,96.1,56.0,44.0,36.0
lego-reel,98.6,99.8,98.8,91.2,49.8,49.9,86.9,8.8,7.2,4.8,98.5,99.8,99.0,12.0,12.0,8.0
lego-technical-gear,92.7,98.6,94.8,98.1,78.7,73.2,91.1,58.3,40.3,18.1,96.0,99.2,99.2,8.0,8.0,8.0
lego-turbine,88.8,95.8,92.1,97.0,70.6,64.7,83.6,55.2,41.9,28.6,75.4,95.9,94.9,68.0,64.0,60.0
lighting_connector,76.6,92.5,90.4,96.2,64.5,58.8,72.0,94.9,89.4,70.7,71.4,93.3,94.3,92.0,84.0,60.0
